Excludability,Rivalry,Type,Examples
Excludable,Rival,Private Goods,Jeans, hamburgers, gasoline
Excludable,Non-rival,Nonrival Private,Wi-Fi, satellite TV
Non-excludable,Rival,Common Resources,Timber in public land, bluefin tuna
Non-excludable,Non-rival,Public Goods,National defense, lighthouses
